"Date","Price","Open","High","Low","Vol.","Change %"
"06/08/2016","255","252","255","250","16.60M","1.19%"
"06/07/2016","252","255","255","252","4.76M","0.00%"
"06/06/2016","252","260","260","249","19.91M","-3.08%"
"06/03/2016","260","252","260","252","7.88M","1.96%"
"06/02/2016","255","252","258","252","5.81M","2.00%"
"06/01/2016","250","255","255","250","1.76M","-0.79%"
"05/31/2016","252","258","258","252","2.90M","-2.33%"
"05/30/2016","258","255","258","252","4.66M","1.18%"
"05/27/2016","255","255","258","255","2.81M","0.00%"
"05/26/2016","255","260","260","255","11.27M","-4.85%"
"05/25/2016","268","270","270","265","26.59M","0.00%"
"05/24/2016","268","268","270","265","11.83M","0.00%"
"05/23/2016","268","268","268","262","7.50M","1.13%"
"05/20/2016","265","262","268","262","5.97M","1.15%"
"05/19/2016","262","260","265","258","20.70M","0.77%"
"05/18/2016","260","258","260","255","7.81M","0.78%"
"05/17/2016","258","258","260","255","2.38M","0.00%"
"05/16/2016","258","258","260","255","5.71M","0.00%"
"05/13/2016","258","252","258","250","8.23M","3.20%"
"05/12/2016","250","252","252","250","6.05M","-0.79%"
"05/11/2016","252","252","255","250","9.48M","0.00%"
"05/10/2016","252","252","258","250","26.22M","0.00%"
"05/09/2016","252","255","255","250","6.20M","-1.18%"
"05/04/2016","255","262","262","252","9.86M","-2.67%"
"05/03/2016","262","268","270","262","15.41M","-1.13%"
"05/02/2016","265","250","268","249","53.13M","6.00%"
"04/29/2016","250","250","252","250","6.60M","0.00%"
"04/28/2016","250","250","252","250","5.71M","0.00%"
"04/27/2016","250","250","250","249","10.19M","0.00%"
"04/26/2016","250","250","250","250","4.01M","0.00%"
"04/25/2016","250","250","252","250","8.75M","0.00%"
"04/22/2016","250","250","250","250","7.33M","0.00%"
"04/21/2016","250","250","252","250","9.31M","-0.79%"
"04/20/2016","252","252","255","250","10.05M","0.00%"
"04/19/2016","252","250","252","250","5.51M","0.80%"
"04/18/2016","250","250","250","249","1.70M","0.00%"
"04/15/2016","250","250","252","250","4.17M","0.00%"
"04/14/2016","250","252","252","250","5.19M","0.00%"
"04/13/2016","250","252","252","249","11.71M","-0.79%"
"04/12/2016","252","250","252","249","11.64M","0.80%"
"04/11/2016","250","250","252","249","2.64M","0.00%"
"04/08/2016","250","250","250","248","5.31M","0.00%"
"04/07/2016","250","252","255","250","11.08M","-0.79%"
"04/06/2016","252","252","255","250","3.79M","0.00%"
"04/05/2016","252","252","252","250","7.76M","0.00%"
"04/04/2016","252","252","255","250","1.86M","0.80%"
"04/01/2016","250","252","252","250","11.60M","0.00%"
"03/31/2016","250","255","255","250","4.51M","-1.96%"
"03/30/2016","255","255","258","252","2.66M","1.19%"
"03/29/2016","252","252","255","252","1.65M","0.00%"
"03/28/2016","252","255","255","252","1.17M","-1.18%"
"03/24/2016","255","255","255","252","1.74M","0.00%"
"03/23/2016","255","258","258","252","2.31M","-1.92%"
"03/22/2016","260","260","262","258","2.83M","0.00%"
"03/21/2016","260","260","262","258","3.67M","0.00%"
"03/18/2016","260","262","265","258","3.91M","-0.76%"
"03/17/2016","262","265","270","262","5.43M","-1.13%"
"03/16/2016","265","262","270","262","6.43M","1.15%"
"03/15/2016","262","258","262","258","13.12M","1.55%"
"03/14/2016","258","252","258","250","6.39M","2.38%"
"03/11/2016","252","252","258","250","9.27M","0.80%"
"03/10/2016","250","252","255","250","1.66M","-0.79%"
"03/08/2016","252","255","260","252","4.72M","-1.18%"
"03/07/2016","255","255","262","252","10.01M","0.00%"
"03/04/2016","255","252","255","252","3.19M","0.00%"
"03/03/2016","255","252","258","252","8.06M","1.19%"
"03/02/2016","252","252","255","250","1.67M","0.00%"
"03/01/2016","252","255","255","250","1.05M","-1.18%"
"02/29/2016","255","250","255","250","3.46M","2.00%"
"02/26/2016","250","252","252","250","16.57M","0.00%"
"02/25/2016","250","250","250","248","6.77M","0.00%"
